Antlr;compiling control programs;http://www.antlr.org;3.4
Asm;Java bytecode manipulation and analysis;http://asm.ow2.org/;4.0
Gnu Prolog;interpreting Prolog queries;http://www.gnu.org/software/gnuprologjava/;0.2.6
JGraph;displaying graphs and rules;http://www.jgraph.com;5.13.0
EMF;converting to and from Eclipse ecore format;http://eclipse.org;2.5.0
EPSGraphics;exporting displayed graphs to EPS format;http://www.abeel.be/epsgraphics/;1.2
Groovy;easy and flexible access to the GROOVE API;http://groovy.codehaus.org/;2.0.5
iText;exporting displayed graphs to PDF format;http://itextpdf.com/;5.3.2
JGoodies Looks;platform-dependent look&feel;http://www.jgoodies.com/freeware/libraries/looks/;2.4.1
ltl2buchi;translating LTL formulae to Büchi automata;http://ti.arc.nasa.gov/profile/dimitra/projects-tools;
RSyntaxTextArea;editing syntax-highlighted control and Prolog programs;http://fifesoft.com/rsyntaxtextarea;
